Overall,Year,Team,Player,Player_ID,Nat,Pos,Age,To,Amateur_Team,GP,G,A,PTS,Plus_Minus,PIM,Round
1,2005,Pittsburgh Penguins,Sidney Crosby,crosbsi01,CA,C,18.0,2025.0,Rimouski Oceanic (QMJHL),1295.0,600.0,1017.0,1617.0,206.0,838.0,1.0
2,2005,Anaheim Ducks,Bobby Ryan,ryanbo01,US,LW,18.0,2021.0,Owen Sound Attack (OHL),866.0,261.0,308.0,569.0,-12.0,470.0,1.0
3,2005,Carolina Hurricanes,Jack Johnson,johnsja02,US,D,18.0,2025.0,USA U-18 Development Team (USDP/NAHL),1202.0,77.0,260.0,337.0,-118.0,639.0,1.0
4,2005,Minnesota Wild,Benoit Pouliot,poulibe01,CA,LW,18.0,2018.0,Sudbury Wolves (OHL),625.0,130.0,133.0,263.0,25.0,371.0,1.0
5,2005,Montreal Canadiens,Carey Price,priceca01,CA,G,18.0,2022.0,Tri-City Americans (WHL),712.0,0.0,13.0,13.0,0.0,51.0,1.0
6,2005,Columbus Blue Jackets,Gilbert Brule,brulegi01,CA,C,18.0,2014.0,Vancouver Giants (WHL),299.0,43.0,52.0,95.0,-39.0,156.0,1.0
7,2005,Chicago Blackhawks,Jack Skille,skillja01,US,RW,18.0,2017.0,USA U-18 Development Team (USDP/NAHL),368.0,43.0,41.0,84.0,-52.0,118.0,1.0
8,2005,San Jose Sharks,Devin Setoguchi,setogde01,CA,RW,18.0,2017.0,Saskatoon Blades (WHL),516.0,131.0,130.0,261.0,-11.0,177.0,1.0
9,2005,Ottawa Senators,Brian Lee,leebr01,US,D,18.0,2013.0,Moorhead HS (High-MN),209.0,5.0,31.0,36.0,-37.0,124.0,1.0
10,2005,Vancouver Canucks,Luc Bourdon,bourdlu01,CA,D,18.0,2008.0,Val-d'Or Foreurs (QMJHL),36.0,2.0,0.0,2.0,6.0,24.0,1.0
11,2005,Los Angeles Kings,Anze Kopitar,kopitan01,SI,C,18.0,2025.0,Sodertalje SK Jr. (Sweden Jr.),1394.0,424.0,810.0,1234.0,100.0,344.0,1.0
12,2005,New York Rangers,Marc Staal,staalma01,CA,D,18.0,2024.0,Sudbury Wolves (OHL),1136.0,53.0,181.0,234.0,52.0,537.0,1.0
13,2005,Buffalo Sabres,Marek Zagrapan,zagrama01,SK,C,18.0,0.0,Chicoutimi Sagueneens (QMJHL),0.0,0.0,0.0,0.0,0.0,0.0,1.0
14,2005,Washington Capitals,Sasha Pokulok,pokulsa01,CA,D,19.0,0.0,Cornell (ECAC),0.0,0.0,0.0,0.0,0.0,0.0,1.0
15,2005,New York Islanders,Ryan O'Marra,omarrry01,JP,C,18.0,2012.0,Erie Otters (OHL),33.0,1.0,6.0,7.0,-3.0,17.0,1.0
16,2005,Atlanta Thrashers,Alex Bourret,bourral01,CA,RW,18.0,0.0,Lewiston MAINEiacs (QMJHL),0.0,0.0,0.0,0.0,0.0,0.0,1.0
17,2005,Phoenix Coyotes,Martin Hanzal,hanzama01,CZ,C,18.0,2019.0,HC Ceske Budejovice Jr. (Czech Jr.),673.0,127.0,211.0,338.0,-43.0,574.0,1.0
18,2005,Nashville Predators,Ryan Parent,parenry01,CA,D,18.0,2011.0,Guelph Storm (OHL),106.0,1.0,6.0,7.0,-18.0,36.0,1.0
19,2005,Detroit Red Wings,Jakub Kindl,kindlja01,CZ,D,18.0,2017.0,Kitchener Rangers (OHL),331.0,16.0,58.0,74.0,14.0,181.0,1.0
20,2005,Florida Panthers,Kenndal McArdle,mcardke01,CA,LW,18.0,2012.0,Moose Jaw Warriors (WHL),42.0,1.0,2.0,3.0,-11.0,51.0,1.0
21,2005,Toronto Maple Leafs,Tuukka Rask,rasktu01,FI,G,18.0,2022.0,Ilves Jr. (Finland Jr.),564.0,0.0,17.0,17.0,0.0,26.0,1.0
22,2005,Boston Bruins,Matt Lashoff,lashoma01,US,D,18.0,2011.0,Kitchener Rangers (OHL),74.0,1.0,15.0,16.0,-15.0,59.0,1.0
23,2005,New Jersey Devils,Niclas Bergfors,bergfni01,SE,RW,18.0,2012.0,Sodertalje SK Jr. (Sweden Jr.),173.0,35.0,48.0,83.0,-23.0,20.0,1.0
24,2005,St. Louis Blues,T.J. Oshie,oshietj01,US,C,18.0,2024.0,Warroad HS (High-MN),1010.0,302.0,393.0,695.0,87.0,541.0,1.0
25,2005,Edmonton Oilers,Andrew Cogliano,coglian01,CA,C,18.0,2024.0,St. Michael's (OPJHL),1294.0,190.0,274.0,464.0,31.0,449.0,1.0
26,2005,Calgary Flames,Matt Pelech,pelecma01,CA,RW,18.0,2014.0,Sarnia Sting (OHL),13.0,1.0,3.0,4.0,2.0,38.0,1.0
27,2005,Washington Capitals,Joe Finley,finlejo01,US,D,18.0,2013.0,Sioux Falls Stampede (USHL),21.0,0.0,1.0,1.0,-8.0,32.0,1.0
28,2005,Dallas Stars,Matt Niskanen,niskama01,US,D,18.0,2020.0,Virginia HS (High-MN),949.0,72.0,284.0,356.0,112.0,489.0,1.0
29,2005,Philadelphia Flyers,Steve Downie,downist01,CA,RW,18.0,2016.0,Windsor Spitfires (OHL),434.0,76.0,120.0,196.0,21.0,1057.0,1.0
30,2005,Tampa Bay Lightning,Vladimir Mihalik,mihalvl01,SK,D,18.0,2010.0,PHK Presov (Slovakia-2),15.0,0.0,3.0,3.0,-7.0,8.0,1.0
31,2005,Anaheim Ducks,Brendan Mikkelson,mikkebr01,CA,D,18.0,2013.0,Portland Winter Hawks (WHL),131.0,1.0,9.0,10.0,-14.0,59.0,2.0
32,2005,Florida Panthers,Tyler Plante,plantty01,US,G,18.0,0.0,Brandon Wheat Kings (WHL),0.0,0.0,0.0,0.0,0.0,0.0,2.0
33,2005,Dallas Stars,James Neal,nealja01,CA,LW,18.0,2022.0,Plymouth Whalers (OHL),869.0,296.0,263.0,559.0,7.0,581.0,2.0
34,2005,Colorado Avalanche,Ryan Stoa,stoary01,US,C,18.0,2014.0,USA U-18 Development Team (USDP/NAHL),40.0,4.0,3.0,7.0,-8.0,20.0,2.0
35,2005,San Jose Sharks,Marc-Edouard Vlasic,vlasima01,CA,D,18.0,2024.0,Quebec Remparts (QMJHL),1296.0,83.0,293.0,376.0,52.0,470.0,2.0
36,2005,Edmonton Oilers,Taylor Chorney,chornta01,CA,D,18.0,2018.0,Shattuck-St. Mary's School (High-MN),166.0,4.0,18.0,22.0,-6.0,56.0,2.0
37,2005,St. Louis Blues,Scott Jackson,jackssc01,CA,D,18.0,2010.0,Seattle Thunderbirds (WHL),1.0,0.0,0.0,0.0,0.0,0.0,2.0
38,2005,New Jersey Devils,Jeff Frazee,frazeje01,US,G,18.0,2013.0,USA U-18 Development Team (USDP/NAHL),1.0,0.0,0.0,0.0,0.0,0.0,2.0
39,2005,Boston Bruins,Petr Kalus,kaluspe01,CZ,LW,18.0,2010.0,HC Vitkovice Jr. (Czech Jr.),11.0,4.0,1.0,5.0,0.0,6.0,2.0
40,2005,New York Rangers,Michael Sauer,sauermi01,US,D,18.0,2012.0,Portland Winter Hawks (WHL),98.0,4.0,14.0,18.0,28.0,96.0,2.0
41,2005,Atlanta Thrashers,Ondrej Pavelec,pavelon01,CZ,G,18.0,2018.0,HC Kladno Jr. (Czech Jr.),398.0,0.0,6.0,6.0,0.0,12.0,2.0
42,2005,Detroit Red Wings,Justin Abdelkader,abdelju01,US,LW,18.0,2020.0,Cedar Rapids Roughriders (USHL),739.0,106.0,146.0,252.0,-56.0,608.0,2.0
43,2005,Chicago Blackhawks,Mike Blunden,blundmi01,CA,RW,18.0,2018.0,Erie Otters (OHL),127.0,7.0,6.0,13.0,-6.0,145.0,2.0
44,2005,Colorado Avalanche,Paul Stastny,stastpa01,CA,C,19.0,2023.0,Denver (WCHA),1145.0,293.0,529.0,822.0,54.0,500.0,2.0
45,2005,Montreal Canadiens,Guillaume Latendresse,latengu01,CA,LW,18.0,2013.0,Drummondville Voltigeurs (QMJHL),341.0,87.0,60.0,147.0,-15.0,185.0,2.0
46,2005,New York Islanders,Dustin Kohn,kohndu01,CA,D,18.0,2010.0,Calgary Hitmen (WHL),22.0,0.0,4.0,4.0,-2.0,4.0,2.0
47,2005,Colorado Avalanche,Tom Fritsche,fritsto01,US,LW,18.0,0.0,Ohio State (CCHA),0.0,0.0,0.0,0.0,0.0,0.0,2.0
48,2005,Buffalo Sabres,Philip Gogulla,gogulph01,DE,RW,18.0,0.0,Kolner Haie (Germany),0.0,0.0,0.0,0.0,0.0,0.0,2.0
49,2005,Atlanta Thrashers,Chad Denny,dennych01,CA,D,18.0,0.0,Lewiston MAINEiacs (QMJHL),0.0,0.0,0.0,0.0,0.0,0.0,2.0
50,2005,Los Angeles Kings,Dany Roussin,roussda01,CA,C,20.0,0.0,Rimouski Oceanic (QMJHL),0.0,0.0,0.0,0.0,0.0,0.0,2.0
51,2005,Vancouver Canucks,Mason Raymond,raymoma01,CA,LW,19.0,2017.0,Camrose (AJHL),546.0,115.0,136.0,251.0,-2.0,156.0,2.0
52,2005,Colorado Avalanche,Chris Durand,duranch01,CA,C,18.0,0.0,Seattle Thunderbirds (WHL),0.0,0.0,0.0,0.0,0.0,0.0,2.0
53,2005,Atlanta Thrashers,Andrew Kozek,kozekan01,CA,LW,19.0,0.0,Surrey (BCHL),0.0,0.0,0.0,0.0,0.0,0.0,2.0
54,2005,Chicago Blackhawks,Dan Bertram,bertrda01,CA,RW,18.0,0.0,Boston College (H-East),0.0,0.0,0.0,0.0,0.0,0.0,2.0
55,2005,Columbus Blue Jackets,Adam McQuaid,mcquaad01,CA,D,18.0,2019.0,Sudbury Wolves (OHL),512.0,16.0,57.0,73.0,62.0,694.0,2.0
56,2005,New York Rangers,Marc-Andre Cliche,clichma01,CA,C,18.0,2015.0,Lewiston MAINEiacs (QMJHL),151.0,3.0,11.0,14.0,-12.0,34.0,2.0
57,2005,Minnesota Wild,Matt Kassian,kassima01,CA,LW,18.0,2014.0,Kamloops Blazers (WHL),76.0,4.0,1.0,5.0,-4.0,177.0,2.0
58,2005,Carolina Hurricanes,Nate Hagemo,hagemna01,US,D,18.0,0.0,Minnesota (WCHA),0.0,0.0,0.0,0.0,0.0,0.0,2.0
59,2005,Phoenix Coyotes,Pier-Olivier Pelletier,pellepi01,CA,G,18.0,0.0,Drummondville Voltigeurs (QMJHL),0.0,0.0,0.0,0.0,0.0,0.0,2.0
60,2005,Los Angeles Kings,T.J. Fast,fastt.01,CA,D,18.0,0.0,Camrose (AJHL),0.0,0.0,0.0,0.0,0.0,0.0,2.0
61,2005,Pittsburgh Penguins,Michael Gergen,gergemi01,US,LW,18.0,0.0,Shattuck-St. Mary's School (High-MN),0.0,0.0,0.0,0.0,0.0,0.0,3.0
62,2005,Pittsburgh Penguins,Kris Letang,letankr01,CA,D,18.0,2025.0,Val-d'Or Foreurs (QMJHL),1107.0,168.0,580.0,748.0,88.0,765.0,3.0
63,2005,Anaheim Ducks,Jason Bailey,baileja01,CA,RW,18.0,0.0,USA U-18 Development Team (USDP/NAHL),0.0,0.0,0.0,0.0,0.0,0.0,3.0
64,2005,Carolina Hurricanes,Joe Barnes,barnejo01,CA,C,19.0,0.0,Saskatoon Blades (WHL),0.0,0.0,0.0,0.0,0.0,0.0,3.0
65,2005,Minnesota Wild,Kristofer Westblom,westbkr01,CA,G,18.0,0.0,Kelowna Rockets (WHL),0.0,0.0,0.0,0.0,0.0,0.0,3.0
66,2005,New York Rangers,Brodie Dupont,duponbr01,CA,C,18.0,2011.0,Calgary Hitmen (WHL),1.0,0.0,0.0,0.0,0.0,0.0,3.0
67,2005,Columbus Blue Jackets,Kris Russell,russekr01,CA,D,18.0,2022.0,Medicine Hat Tigers (WHL),912.0,48.0,206.0,254.0,2.0,271.0,3.0
68,2005,Chicago Blackhawks,Evan Brophey,brophev01,CA,C,18.0,2012.0,Belleville Bulls (OHL),4.0,0.0,0.0,0.0,0.0,0.0,3.0
69,2005,Calgary Flames,Gord Baldwin,baldwgo01,CA,D,18.0,0.0,Medicine Hat Tigers (WHL),0.0,0.0,0.0,0.0,0.0,0.0,3.0
70,2005,Ottawa Senators,Vitali Anikeyenko,anikevi01,RU,D,18.0,0.0,Lokomotiv Yaroslavl 2 (Russia-3),0.0,0.0,0.0,0.0,0.0,0.0,3.0
71,2005,Dallas Stars,Rich Clune,cluneri01,CA,LW,18.0,2016.0,Sarnia Sting (OHL),139.0,7.0,15.0,22.0,-2.0,327.0,3.0
72,2005,Los Angeles Kings,Jonathan Quick,quickjo01,US,G,19.0,2025.0,Avon Old Farms School (High-CT),786.0,0.0,21.0,21.0,0.0,76.0,3.0
73,2005,Tampa Bay Lightning,Radek Smolenak,smolera01,CZ,LW,18.0,2010.0,Kingston Frontenacs (OHL),7.0,0.0,1.0,1.0,1.0,15.0,3.0
74,2005,Calgary Flames,Dan Ryder,ryderda01,CA,C,18.0,0.0,Peterborough Petes (OHL),0.0,0.0,0.0,0.0,0.0,0.0,3.0
